epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,584.507,1.94308,3.09934,2.80418,0.0041,5.12309,0.80589,0.12423,0.14125,0.07099,0.76285,0.11619,0.13582,0.06131,1.91351,2.72422,1.85129,0.00368,0,0.000414938,0.000414938,0.000414938
2,1345.29,1.91983,2.93509,1.90464,0.00401,1.64836,0.49499,0.17057,0.15636,0.07922,0.49322,0.16699,0.15175,0.06783,1.92808,2.74431,1.97857,0.00374,0,0.000811457,0.000811457,0.000811457
3,1843.86,1.92116,2.91268,1.87371,0.00404,1.0771,0.32873,0.21561,0.18684,0.0873,0.32367,0.20654,0.1788,0.07499,1.95895,2.83758,1.82296,0.00382,0,0.00113026,0.00113026,0.00113026
4,2382.72,1.90146,2.86602,1.76789,0.00399,1.03897,0.56907,0.20757,0.19439,0.09797,0.56329,0.19962,0.18721,0.08198,1.84775,2.61836,1.63318,0.00354,0,0.000994942,0.000994942,0.000994942
5,2881.52,1.87038,2.76916,1.70118,0.00391,0.9966,0.39741,0.27915,0.24011,0.11333,0.38364,0.26735,0.22751,0.09467,1.87672,2.66846,1.54465,0.0036,0,0.000822454,0.000822454,0.000822454
6,3392.82,1.84401,2.72626,1.60617,0.00382,0.93392,0.41665,0.29279,0.25005,0.12454,0.41153,0.28573,0.24282,0.10723,1.82512,2.51289,1.48711,0.00349,0,0.00063125,0.00063125,0.00063125
7,3893.37,1.82535,2.69622,1.5718,0.00371,0.91379,0.41825,0.28571,0.24884,0.12802,0.41434,0.27877,0.24254,0.11255,1.77914,2.4575,1.50943,0.0034,0,0.000440046,0.000440046,0.000440046
8,641.998,1.83726,2.76309,1.64921,0.00363,1.44058,0.43807,0.30468,0.27604,0.13971,0.43223,0.2934,0.26589,0.12015,1.75934,2.45522,1.44578,0.00335,0,0.000267558,0.000267558,0.000267558
9,777.979,1.79566,2.67899,1.56027,0.00352,1.34778,0.48585,0.30851,0.28632,0.14451,0.48047,0.30124,0.27695,0.12496,1.75474,2.4295,1.40386,0.00334,0,0.000130671,0.000130671,0.000130671
10,592.558,1.77884,2.64291,1.51906,0.00347,1.28716,0.47325,0.31232,0.28189,0.14305,0.47283,0.30414,0.2729,0.12351,1.74342,2.42459,1.38738,0.00331,0,4.27838e-05,4.27838e-05,4.27838e-05
